date,product_id,category,price,promotion,stock,demand
2023-01-14,E,Sports,117,0,54,33
2023-01-15,A,Electronics,125,1,399,162
2023-01-15,B,Grocery,123,0,173,83
2023-01-15,C,Clothing,129,0,368,68
2023-01-15,D,Home,146,1,445,126
2023-01-15,E,Sports,10,0,288,24
2023-01-16,A,Electronics,126,0,434,56
2023-01-16,B,Grocery,78,0,327,26
2023-01-16,C,Clothing,78,0,96,84
2023-01-16,D,Home,153,0,267,94
2023-01-16,E,Sports,110,0,72,62
2023-01-17,A,Electronics,109,1,339,47
2023-01-17,B,Grocery,25,0,329,103
2023-01-17,C,Clothing,137,0,209,109
2023-01-17,D,Home,42,0,466,81
2023-01-17,E,Sports,110,0,317,91
2023-01-18,A,Electronics,38,0,446,100
2023-01-18,B,Grocery,139,0,302,36
2023-01-18,C,Clothing,99,0,467,23
2023-01-18,D,Home,123,0,124,32
2023-01-18,E,Sports,173,1,443,71
2023-01-19,A,Electronics,186,0,148,83
2023-01-19,B,Grocery,46,1,317,58
2023-01-19,C,Clothing,108,0,410,87
2023-01-19,D,Home,186,1,149,30
2023-01-19,E,Sports,156,1,125,55
2023-01-20,A,Electronics,120,0,193,77
2023-01-20,B,Grocery,34,0,485,108
2023-01-20,C,Clothing,48,0,158,54
2023-01-20,D,Home,176,0,447,58
2023-01-20,E,Sports,85,0,58,121
2023-01-21,A,Electronics,154,1,302,152
2023-01-21,B,Grocery,187,0,332,77
2023-01-21,C,Clothing,174,0,471,106
2023-01-21,D,Home,141,1,341,145
2023-01-21,E,Sports,28,0,494,113
2023-01-22,A,Electronics,48,1,175,147
2023-01-22,B,Grocery,135,0,107,104
2023-01-22,C,Clothing,101,0,239,72
2023-01-22,D,Home,162,0,361,65
2023-01-22,E,Sports,169,0,222,97
2023-01-23,A,Electronics,89,0,423,98
2023-01-23,B,Grocery,58,0,63,74
2023-01-23,C,Clothing,126,0,103,46
2023-01-23,D,Home,83,1,273,129
2023-01-23,E,Sports,161,1,205,49
2023-01-24,A,Electronics,195,0,365,57
2023-01-24,B,Grocery,110,0,90,74
2023-01-24,C,Clothing,170,0,261,75
2023-01-24,D,Home,166,0,446,95
2023-01-24,E,Sports,118,1,54,145
2023-01-25,A,Electronics,155,0,273,52
2023-01-25,B,Grocery,170,1,147,146
2023-01-25,C,Clothing,64,0,55,26
2023-01-25,D,Home,190,1,72,59
2023-01-25,E,Sports,92,1,194,114
2023-01-26,A,Electronics,13,1,495,27
2023-01-26,B,Grocery,41,0,83,87
2023-01-26,C,Clothing,191,0,167,48
2023-01-26,D,Home,21,0,498,45
2023-01-26,E,Sports,56,0,456,104
2023-01-27,A,Electronics,151,0,115,114
2023-01-27,B,Grocery,39,0,384,79
2023-01-27,C,Clothing,61,1,298,134
2023-01-27,D,Home,60,0,130,56
2023-01-27,E,Sports,147,0,233,32
2023-01-28,A,Electronics,62,1,499,157
2023-01-28,B,Grocery,52,0,289,115
2023-01-28,C,Clothing,104,0,423,27
2023-01-28,D,Home,113,0,437,47
2023-01-28,E,Sports,169,0,483,95
2023-01-29,A,Electronics,156,0,326,86
2023-01-29,B,Grocery,79,0,50,84
2023-01-29,C,Clothing,99,0,95,28
2023-01-29,D,Home,35,0,298,50
2023-01-29,E,Sports,65,0,399,72
2023-01-30,A,Electronics,17,1,162,67
2023-01-30,B,Grocery,136,0,105,105
2023-01-30,C,Clothing,118,0,203,109
2023-01-30,D,Home,124,0,56,46
2023-01-30,E,Sports,124,0,64,47
2023-01-31,A,Electronics,37,0,251,108
2023-01-31,B,Grocery,22,0,261,75
2023-01-31,C,Clothing,76,0,282,42
2023-01-31,D,Home,177,0,418,61
2023-01-31,E,Sports,15,0,229,80
2023-02-01,A,Electronics,130,0,338,106
2023-02-01,B,Grocery,79,0,161,80
2023-02-01,C,Clothing,161,1,360,137
2023-02-01,D,Home,40,0,89,34
2023-02-01,E,Sports,143,1,167,173
2023-02-02,A,Electronics,88,1,252,106
2023-02-02,B,Grocery,163,0,167,79
2023-02-02,C,Clothing,29,0,162,120
2023-02-02,D,Home,46,0,431,41
2023-02-02,E,Sports,86,1,308,51
2023-02-03,A,Electronics,147,0,221,30
2023-02-03,B,Grocery,139,0,133,33
2023-02-03,C,Clothing,152,0,457,31
2023-02-03,D,Home,103,0,144,68
2023-02-03,E,Sports,10,0,345,112
2023-02-04,A,Electronics,73,0,398,101
2023-02-04,B,Grocery,44,0,262,34
2023-02-04,C,Clothing,132,1,127,77
2023-02-04,D,Home,49,0,377,75
2023-02-04,E,Sports,41,0,228,75
2023-02-05,A,Electronics,162,0,194,119
2023-02-05,B,Grocery,113,0,153,91
2023-02-05,C,Clothing,188,0,91,32
2023-02-05,D,Home,120,0,206,115
2023-02-05,E,Sports,47,0,490,54
2023-02-06,A,Electronics,95,0,371,59
2023-02-06,B,Grocery,56,0,277,71
2023-02-06,C,Clothing,166,0,185,80
2023-02-06,D,Home,164,0,144,107
2023-02-06,E,Sports,52,0,332,54
2023-02-07,A,Electronics,143,0,249,105
2023-02-07,B,Grocery,55,0,412,52
2023-02-07,C,Clothing,120,0,153,85
2023-02-07,D,Home,109,0,373,106
2023-02-07,E,Sports,60,0,78,66
2023-02-08,A,Electronics,20,1,456,171
2023-02-08,B,Grocery,66,0,50,61
2023-02-08,C,Clothing,124,0,473,82
2023-02-08,D,Home,189,0,362,100
2023-02-08,E,Sports,72,0,293,62
2023-02-09,A,Electronics,171,0,396,26
2023-02-09,B,Grocery,196,0,413,41
2023-02-09,C,Clothing,97,0,210,56
2023-02-09,D,Home,159,0,203,79
2023-02-09,E,Sports,58,1,376,136
2023-02-10,A,Electronics,188,0,428,18
2023-02-10,B,Grocery,182,0,335,70
2023-02-10,C,Clothing,27,0,306,39
2023-02-10,D,Home,122,0,163,117
2023-02-10,E,Sports,141,0,434,63
2023-02-11,A,Electronics,119,0,211,24
2023-02-11,B,Grocery,187,0,440,88
2023-02-11,C,Clothing,196,0,304,104
2023-02-11,D,Home,76,0,100,98
2023-02-11,E,Sports,97,1,127,103
2023-02-12,A,Electronics,153,1,214,90
2023-02-12,B,Grocery,16,1,379,124
2023-02-12,C,Clothing,94,0,196,45
2023-02-12,D,Home,157,1,60,46
2023-02-12,E,Sports,128,0,445,20
2023-02-13,A,Electronics,181,0,404,44
2023-02-13,B,Grocery,167,0,169,52
2023-02-13,C,Clothing,34,0,408,43
2023-02-13,D,Home,13,0,203,99
2023-02-13,E,Sports,155,0,177,69
2023-02-14,A,Electronics,175,0,83,94
2023-02-14,B,Grocery,115,0,391,123
2023-02-14,C,Clothing,143,1,268,100
2023-02-14,D,Home,182,0,450,103
2023-02-14,E,Sports,199,0,171,36
2023-02-15,A,Electronics,60,0,230,79
2023-02-15,B,Grocery,38,0,198,65
2023-02-15,C,Clothing,48,0,281,79
2023-02-15,D,Home,120,0,201,90
2023-02-15,E,Sports,157,0,276,65
2023-02-16,A,Electronics,163,1,499,149
2023-02-16,B,Grocery,34,0,88,94
2023-02-16,C,Clothing,117,1,221,96
2023-02-16,D,Home,198,1,66,137
2023-02-16,E,Sports,56,0,61,125
2023-02-17,A,Electronics,90,0,264,34
2023-02-17,B,Grocery,34,1,138,197
2023-02-17,C,Clothing,19,0,65,65
2023-02-17,D,Home,35,1,135,156
2023-02-17,E,Sports,68,0,264,93
2023-02-18,A,Electronics,196,0,152,72
2023-02-18,B,Grocery,140,0,342,93
2023-02-18,C,Clothing,192,0,413,90
2023-02-18,D,Home,162,0,446,31
2023-02-18,E,Sports,179,1,157,97
2023-02-19,A,Electronics,132,1,88,105
2023-02-19,B,Grocery,199,0,367,103
2023-02-19,C,Clothing,130,0,315,89
2023-02-19,D,Home,112,0,389,52
2023-02-19,E,Sports,129,0,207,35
2023-02-20,A,Electronics,46,0,202,113
2023-02-20,B,Grocery,58,0,426,119
2023-02-20,C,Clothing,46,0,110,114
2023-02-20,D,Home,55,1,393,93
2023-02-20,E,Sports,162,1,248,57
2023-02-21,A,Electronics,66,0,267,121
2023-02-21,B,Grocery,12,0,425,70
2023-02-21,C,Clothing,18,0,148,80
2023-02-21,D,Home,70,1,428,87
2023-02-21,E,Sports,12,1,209,146
2023-02-22,A,Electronics,98,0,378,17
2023-02-22,B,Grocery,162,1,275,81
2023-02-22,C,Clothing,49,0,74,110
2023-02-22,D,Home,142,0,225,124
2023-02-22,E,Sports,69,0,225,41
2023-02-23,A,Electronics,71,1,398,113
2023-02-23,B,Grocery,49,0,403,107
2023-02-23,C,Clothing,156,1,385,99
2023-02-23,D,Home,68,0,108,69
2023-02-23,E,Sports,179,0,405,71
2023-02-24,A,Electronics,197,0,56,113
2023-02-24,B,Grocery,116,0,486,76
2023-02-24,C,Clothing,91,1,405,108
2023-02-24,D,Home,22,0,95,42
2023-02-24,E,Sports,26,1,409,94
2023-02-25,A,Electronics,167,0,123,54
2023-02-25,B,Grocery,88,0,271,111
2023-02-25,C,Clothing,77,0,268,56
2023-02-25,D,Home,159,0,450,86
2023-02-25,E,Sports,184,1,334,140
2023-02-26,A,Electronics,189,0,430,114
2023-02-26,B,Grocery,88,0,465,64
2023-02-26,C,Clothing,35,0,479,95
2023-02-26,D,Home,24,1,424,60
2023-02-26,E,Sports,125,0,337,63
2023-02-27,A,Electronics,90,0,431,46
2023-02-27,B,Grocery,30,0,352,113
2023-02-27,C,Clothing,140,0,306,21
2023-02-27,D,Home,24,1,211,134
2023-02-27,E,Sports,36,0,121,57
2023-02-28,A,Electronics,154,0,142,107
2023-02-28,B,Grocery,140,0,398,90
2023-02-28,C,Clothing,33,0,365,122
2023-02-28,D,Home,197,0,368,50
2023-02-28,E,Sports,148,0,113,24
2023-03-01,A,Electronics,91,0,415,47
2023-03-01,B,Grocery,54,0,266,76
2023-03-01,C,Clothing,188,0,137,39
2023-03-01,D,Home,130,0,95,76
2023-03-01,E,Sports,177,0,465,38
2023-03-02,A,Electronics,167,0,466,22
2023-03-02,B,Grocery,99,1,223,174
2023-03-02,C,Clothing,128,0,477,46
2023-03-02,D,Home,18,1,311,157
2023-03-02,E,Sports,169,0,90,124
2023-03-03,A,Electronics,93,0,367,92
2023-03-03,B,Grocery,141,0,439,31
2023-03-03,C,Clothing,197,0,411,41
2023-03-03,D,Home,21,0,136,39
2023-03-03,E,Sports,109,1,222,94
2023-03-04,A,Electronics,62,1,232,57
2023-03-04,B,Grocery,44,0,494,80
2023-03-04,C,Clothing,106,0,440,104
2023-03-04,D,Home,33,0,453,63
2023-03-04,E,Sports,117,0,431,74
2023-03-05,A,Electronics,107,0,277,81
2023-03-05,B,Grocery,173,0,311,100
2023-03-05,C,Clothing,49,0,70,14
2023-03-05,D,Home,35,0,57,60
2023-03-05,E,Sports,87,0,51,63
2023-03-06,A,Electronics,50,1,367,106
2023-03-06,B,Grocery,93,0,179,34
2023-03-06,C,Clothing,98,0,77,123
2023-03-06,D,Home,193,0,213,96
2023-03-06,E,Sports,40,0,444,81
2023-03-07,A,Electronics,19,0,381,138
2023-03-07,B,Grocery,17,0,220,12
2023-03-07,C,Clothing,174,0,354,57
2023-03-07,D,Home,120,0,256,97
2023-03-07,E,Sports,139,0,342,73
2023-03-08,A,Electronics,10,0,168,44
2023-03-08,B,Grocery,188,0,255,95
2023-03-08,C,Clothing,190,0,291,41
2023-03-08,D,Home,193,0,476,103
2023-03-08,E,Sports,47,0,389,82
2023-03-09,A,Electronics,166,0,401,31
2023-03-09,B,Grocery,184,1,339,45
2023-03-09,C,Clothing,56,1,281,69
2023-03-09,D,Home,98,0,351,125
2023-03-09,E,Sports,62,0,353,72
2023-03-10,A,Electronics,199,0,269,118
2023-03-10,B,Grocery,178,1,138,149
2023-03-10,C,Clothing,86,0,208,92
2023-03-10,D,Home,91,0,446,33
2023-03-10,E,Sports,84,0,178,55
2023-03-11,A,Electronics,152,0,454,34
2023-03-11,B,Grocery,170,0,354,28
2023-03-11,C,Clothing,119,0,379,56
2023-03-11,D,Home,12,0,134,111
2023-03-11,E,Sports,163,1,202,185
2023-03-12,A,Electronics,57,0,342,39
2023-03-12,B,Grocery,79,0,351,64
2023-03-12,C,Clothing,160,0,156,78
2023-03-12,D,Home,77,0,326,126
2023-03-12,E,Sports,43,0,383,24
2023-03-13,A,Electronics,166,0,288,91
2023-03-13,B,Grocery,153,0,155,76
2023-03-13,C,Clothing,99,1,394,141
2023-03-13,D,Home,117,0,123,117
2023-03-13,E,Sports,179,0,494,112
2023-03-14,A,Electronics,93,1,423,122
2023-03-14,B,Grocery,132,0,190,97
2023-03-14,C,Clothing,146,1,75,85
2023-03-14,D,Home,58,1,203,106
2023-03-14,E,Sports,161,0,68,77
2023-03-15,A,Electronics,192,0,291,57
2023-03-15,B,Grocery,117,0,275,140
2023-03-15,C,Clothing,152,0,468,34
2023-03-15,D,Home,147,0,127,112
2023-03-15,E,Sports,44,1,312,88
2023-03-16,A,Electronics,127,0,174,58
2023-03-16,B,Grocery,28,0,117,67
2023-03-16,C,Clothing,118,1,85,114
2023-03-16,D,Home,22,0,98,106
2023-03-16,E,Sports,14,0,477,106
2023-03-17,A,Electronics,53,0,430,104
2023-03-17,B,Grocery,79,0,179,118
2023-03-17,C,Clothing,159,0,349,68
2023-03-17,D,Home,86,1,336,145
2023-03-17,E,Sports,64,0,449,111
2023-03-18,A,Electronics,149,0,185,35
2023-03-18,B,Grocery,117,0,370,17
2023-03-18,C,Clothing,159,0,280,67
2023-03-18,D,Home,151,0,341,135
2023-03-18,E,Sports,75,0,410,36
2023-03-19,A,Electronics,163,0,245,98
2023-03-19,B,Grocery,159,0,476,114
2023-03-19,C,Clothing,51,1,215,80
2023-03-19,D,Home,167,0,183,80
2023-03-19,E,Sports,158,0,212,39
2023-03-20,A,Electronics,172,0,255,112
2023-03-20,B,Grocery,63,0,338,59
2023-03-20,C,Clothing,74,0,159,75
2023-03-20,D,Home,126,0,441,31
2023-03-20,E,Sports,34,0,128,53
2023-03-21,A,Electronics,101,0,190,72
2023-03-21,B,Grocery,155,0,365,66
2023-03-21,C,Clothing,14,0,467,53
2023-03-21,D,Home,135,0,316,44
2023-03-21,E,Sports,92,1,442,208
2023-03-22,A,Electronics,199,0,420,58
2023-03-22,B,Grocery,49,0,322,21
2023-03-22,C,Clothing,173,0,173,98
2023-03-22,D,Home,16,0,204,115
2023-03-22,E,Sports,95,0,182,43
2023-03-23,A,Electronics,88,0,198,51
2023-03-23,B,Grocery,129,0,472,23
2023-03-23,C,Clothing,182,1,209,153
2023-03-23,D,Home,197,0,444,84
2023-03-23,E,Sports,43,0,101,96
2023-03-24,A,Electronics,51,1,70,144
2023-03-24,B,Grocery,69,0,97,72
2023-03-24,C,Clothing,67,0,493,69
2023-03-24,D,Home,186,0,128,75
2023-03-24,E,Sports,97,0,222,52
2023-03-25,A,Electronics,17,0,382,104
2023-03-25,B,Grocery,52,0,434,112
2023-03-25,C,Clothing,144,1,77,72
2023-03-25,D,Home,14,0,310,104
2023-03-25,E,Sports,120,0,417,117
2023-03-26,A,Electronics,162,0,378,23
2023-03-26,B,Grocery,77,0,127,85
2023-03-26,C,Clothing,128,1,239,116
2023-03-26,D,Home,11,0,423,79
2023-03-26,E,Sports,104,0,449,47
2023-03-27,A,Electronics,26,0,473,50
2023-03-27,B,Grocery,162,0,364,27
2023-03-27,C,Clothing,181,0,337,64
2023-03-27,D,Home,129,1,454,148
2023-03-27,E,Sports,184,1,67,109
2023-03-28,A,Electronics,158,0,175,58
2023-03-28,B,Grocery,95,0,199,41
2023-03-28,C,Clothing,22,0,307,58
2023-03-28,D,Home,160,1,137,85
2023-03-28,E,Sports,180,0,470,86
2023-03-29,A,Electronics,32,0,462,135
2023-03-29,B,Grocery,120,1,330,91
2023-03-29,C,Clothing,138,0,413,107
2023-03-29,D,Home,141,1,153,50
2023-03-29,E,Sports,55,0,280,36
2023-03-30,A,Electronics,121,0,62,77
2023-03-30,B,Grocery,23,0,170,128
2023-03-30,C,Clothing,29,0,124,76
2023-03-30,D,Home,110,1,235,182
2023-03-30,E,Sports,141,0,69,23
2023-03-31,A,Electronics,63,0,408,66
2023-03-31,B,Grocery,183,0,309,49
2023-03-31,C,Clothing,13,0,270,36
2023-03-31,D,Home,89,0,235,62
2023-03-31,E,Sports,91,0,452,76
2023-04-01,A,Electronics,156,0,354,56
2023-04-01,B,Grocery,39,0,363,61
2023-04-01,C,Clothing,28,1,481,90
2023-04-01,D,Home,72,0,165,95
2023-04-01,E,Sports,127,1,350,136
2023-04-02,A,Electronics,152,0,247,41
2023-04-02,B,Grocery,84,1,408,150
2023-04-02,C,Clothing,12,1,156,175
2023-04-02,D,Home,118,0,100,128
2023-04-02,E,Sports,58,0,454,108
2023-04-03,A,Electronics,109,1,119,181
2023-04-03,B,Grocery,138,0,329,78
2023-04-03,C,Clothing,50,0,231,96
2023-04-03,D,Home,161,0,85,97
2023-04-03,E,Sports,115,0,463,74
2023-04-04,A,Electronics,191,0,155,31
2023-04-04,B,Grocery,82,0,350,138
2023-04-04,C,Clothing,170,0,56,73
2023-04-04,D,Home,169,1,297,167
2023-04-04,E,Sports,179,1,203,135
2023-04-05,A,Electronics,67,0,70,51
2023-04-05,B,Grocery,156,0,420,62
2023-04-05,C,Clothing,178,0,210,37
2023-04-05,D,Home,42,0,130,114
2023-04-05,E,Sports,107,0,77,54
2023-04-06,A,Electronics,107,0,114,92
2023-04-06,B,Grocery,11,0,71,128
2023-04-06,C,Clothing,134,0,216,55
2023-04-06,D,Home,177,0,343,124
2023-04-06,E,Sports,58,0,497,124
2023-04-07,A,Electronics,29,0,203,79
2023-04-07,B,Grocery,88,0,263,37
2023-04-07,C,Clothing,177,0,107,47
2023-04-07,D,Home,140,0,93,129
2023-04-07,E,Sports,15,0,216,91
2023-04-08,A,Electronics,60,0,316,96
2023-04-08,B,Grocery,161,0,346,60
2023-04-08,C,Clothing,152,0,481,109
2023-04-08,D,Home,21,0,435,89
2023-04-08,E,Sports,116,1,89,39
2023-04-09,A,Electronics,17,0,150,77
2023-04-09,B,Grocery,119,0,295,36
2023-04-09,C,Clothing,21,1,444,81
2023-04-09,D,Home,30,0,207,109
2023-04-09,E,Sports,165,0,151,46
2023-04-10,A,Electronics,34,0,453,21
2023-04-10,B,Grocery,142,0,276,73
2023-04-10,C,Clothing,69,0,477,88
2023-04-10,D,Home,117,1,413,48
2023-04-10,E,Sports,39,1,326,35
2023-04-11,A,Electronics,199,1,466,88
2023-04-11,B,Grocery,91,0,363,75
2023-04-11,C,Clothing,185,0,433,135
2023-04-11,D,Home,100,1,468,55
2023-04-11,E,Sports,25,0,467,81
2023-04-12,A,Electronics,157,0,173,51
2023-04-12,B,Grocery,96,1,177,53
2023-04-12,C,Clothing,152,0,240,68
2023-04-12,D,Home,126,0,486,58
2023-04-12,E,Sports,146,0,404,128
2023-04-13,A,Electronics,124,1,274,187
2023-04-13,B,Grocery,109,0,377,75
2023-04-13,C,Clothing,39,0,383,103
2023-04-13,D,Home,163,0,151,78
2023-04-13,E,Sports,92,1,159,83
2023-04-14,A,Electronics,182,1,376,186
2023-04-14,B,Grocery,133,0,424,150
2023-04-14,C,Clothing,190,0,366,49
2023-04-14,D,Home,39,0,314,72
2023-04-14,E,Sports,196,0,383,40
2023-04-15,A,Electronics,77,0,313,76
2023-04-15,B,Grocery,192,1,65,127
2023-04-15,C,Clothing,167,0,317,108
2023-04-15,D,Home,110,0,221,128
2023-04-15,E,Sports,198,0,442,78
2023-04-16,A,Electronics,96,0,480,116
2023-04-16,B,Grocery,85,0,223,83
2023-04-16,C,Clothing,159,0,281,73
2023-04-16,D,Home,29,0,206,67
2023-04-16,E,Sports,85,0,478,73
2023-04-17,A,Electronics,171,0,396,114
2023-04-17,B,Grocery,162,0,259,92
2023-04-17,C,Clothing,15,0,267,45
2023-04-17,D,Home,118,0,290,114
2023-04-17,E,Sports,185,0,286,103
2023-04-18,A,Electronics,55,0,418,98
2023-04-18,B,Grocery,157,1,429,157
2023-04-18,C,Clothing,115,0,412,72
2023-04-18,D,Home,18,1,393,147
2023-04-18,E,Sports,176,0,232,45
2023-04-19,A,Electronics,20,0,196,87
2023-04-19,B,Grocery,117,0,68,83
2023-04-19,C,Clothing,198,1,158,172
2023-04-19,D,Home,17,0,202,93
2023-04-19,E,Sports,184,0,264,94
2023-04-20,A,Electronics,91,0,196,56
2023-04-20,B,Grocery,122,0,274,45
2023-04-20,C,Clothing,38,1,154,110
2023-04-20,D,Home,84,0,315,111
2023-04-20,E,Sports,37,0,308,121
2023-04-21,A,Electronics,11,0,142,118
2023-04-21,B,Grocery,178,1,317,109
2023-04-21,C,Clothing,64,0,350,79
2023-04-21,D,Home,162,0,328,105
2023-04-21,E,Sports,37,0,326,50
2023-04-22,A,Electronics,190,0,171,102
2023-04-22,B,Grocery,107,0,337,67
2023-04-22,C,Clothing,32,0,409,131
2023-04-22,D,Home,66,0,167,134
2023-04-22,E,Sports,165,0,470,87
2023-04-23,A,Electronics,65,0,370,24
2023-04-23,B,Grocery,155,0,468,58
2023-04-23,C,Clothing,135,0,444,92
2023-04-23,D,Home,185,0,165,104
2023-04-23,E,Sports,74,1,80,140
2023-04-24,A,Electronics,97,0,492,120
2023-04-24,B,Grocery,13,1,203,158
2023-04-24,C,Clothing,134,0,448,87
2023-04-24,D,Home,131,0,174,50
2023-04-24,E,Sports,27,1,250,92
2023-04-25,A,Electronics,184,0,175,47
2023-04-25,B,Grocery,174,0,354,39
2023-04-25,C,Clothing,95,0,358,39
2023-04-25,D,Home,118,1,100,132
2023-04-25,E,Sports,30,0,349,87
2023-04-26,A,Electronics,33,0,174,38
2023-04-26,B,Grocery,148,0,484,49
2023-04-26,C,Clothing,174,0,390,65
2023-04-26,D,Home,154,0,150,20
2023-04-26,E,Sports,107,0,316,111
2023-04-27,A,Electronics,149,0,295,98
2023-04-27,B,Grocery,29,0,474,27
2023-04-27,C,Clothing,79,0,66,85
2023-04-27,D,Home,192,1,299,146
2023-04-27,E,Sports,160,0,448,130
2023-04-28,A,Electronics,91,1,141,139
2023-04-28,B,Grocery,13,0,440,103
2023-04-28,C,Clothing,47,0,372,117
2023-04-28,D,Home,184,0,238,121
2023-04-28,E,Sports,147,1,347,119
2023-04-29,A,Electronics,178,0,201,110
2023-04-29,B,Grocery,123,1,313,146
2023-04-29,C,Clothing,80,1,79,93
2023-04-29,D,Home,145,0,438,80
2023-04-29,E,Sports,136,0,306,106
2023-04-30,A,Electronics,183,0,433,65
2023-04-30,B,Grocery,111,0,124,22
2023-04-30,C,Clothing,43,0,94,100
2023-04-30,D,Home,111,0,65,97
2023-04-30,E,Sports,153,0,407,72
2023-05-01,A,Electronics,22,0,233,92
2023-05-01,B,Grocery,129,0,431,67
2023-05-01,C,Clothing,62,1,344,150
2023-05-01,D,Home,156,0,102,81
2023-05-01,E,Sports,40,0,386,56
2023-05-02,A,Electronics,63,0,101,125
2023-05-02,B,Grocery,23,0,227,59
2023-05-02,C,Clothing,39,0,240,61
2023-05-02,D,Home,17,0,61,11
2023-05-02,E,Sports,58,0,128,121
2023-05-03,A,Electronics,102,0,203,105
2023-05-03,B,Grocery,143,0,374,105
2023-05-03,C,Clothing,166,0,205,79
2023-05-03,D,Home,171,0,477,41
2023-05-03,E,Sports,152,0,356,121
2023-05-04,A,Electronics,174,1,450,144
2023-05-04,B,Grocery,166,0,466,91
2023-05-04,C,Clothing,110,1,466,81
2023-05-04,D,Home,26,0,480,78
2023-05-04,E,Sports,110,0,353,68
2023-05-05,A,Electronics,108,1,352,94
2023-05-05,B,Grocery,150,0,149,108
2023-05-05,C,Clothing,146,0,378,68
2023-05-05,D,Home,146,0,265,89
2023-05-05,E,Sports,27,0,52,45
2023-05-06,A,Electronics,63,0,487,37
2023-05-06,B,Grocery,22,1,362,167
2023-05-06,C,Clothing,62,0,123,98
2023-05-06,D,Home,111,0,329,88
2023-05-06,E,Sports,162,0,436,50
2023-05-07,A,Electronics,125,1,73,75
2023-05-07,B,Grocery,74,0,389,105
2023-05-07,C,Clothing,113,0,141,58
2023-05-07,D,Home,162,0,82,34
2023-05-07,E,Sports,66,0,175,113
2023-05-08,A,Electronics,120,1,356,203
2023-05-08,B,Grocery,17,0,274,102
2023-05-08,C,Clothing,141,0,153,90
2023-05-08,D,Home,166,0,147,104
2023-05-08,E,Sports,99,0,153,105
2023-05-09,A,Electronics,65,0,145,48
2023-05-09,B,Grocery,26,0,108,78
2023-05-09,C,Clothing,35,0,74,119
2023-05-09,D,Home,113,1,117,71
2023-05-09,E,Sports,74,0,98,58
2023-05-10,A,Electronics,56,0,208,97
2023-05-10,B,Grocery,123,0,54,67
2023-05-10,C,Clothing,175,0,460,93
2023-05-10,D,Home,131,0,326,44
2023-05-10,E,Sports,87,1,251,159
2023-05-11,A,Electronics,12,0,55,68
2023-05-11,B,Grocery,84,0,382,63
